h,dt,delta_dt,b,armed,wind_speed,humidity,vibration,action
0.0,100.0,0.0,100.0,FALSE,9.2,60.0,0,-
0.0,100.0,0.0,96.0,TRUE,9.1,60.5,52,takeoff_act (Takeoff)
104.7,100.0,0.0,93.0,TRUE,9.1,60.3,47,checkstatus_act (Checkstatus)
104.1,100.0,0.0,88.0,TRUE,9.0,61.0,52,manoeuvre_act (Flying)
104.9,89.0,11.0,85.0,TRUE,9.0,61.5,52,checkstatus_act (Checkstatus)
103.8,89.0,0.0,81.0,TRUE,8.9,61.5,52,manoeuvre_act (Flying)
104.6,77.0,12.0,76.0,TRUE,8.9,61.6,52,checkstatus_act (Checkstatus)
105.0,77.0,0.0,73.0,TRUE,8.8,61.6,52,manoeuvre_act (Flying)
104.2,67.0,10.0,69.0,TRUE,8.9,61.7,52,checkstatus_act (Checkstatus)
103.5,67.0,0.0,66.0,TRUE,8.9,61.7,52,manoeuvre_act (Flying)
104.0,54.0,13.0,61.0,TRUE,9.0,61.6,52,checkstatus_act (Checkstatus)
104.8,54.0,0.0,57.0,TRUE,9.1,61.6,52,manoeuvre_act (Flying)
103.9,40.0,14.0,54.0,TRUE,9.0,61.5,52,checkstatus_act (Checkstatus)
104.4,40.0,0.0,50.0,TRUE,8.9,61.3,52,manoeuvre_act (Flying)
104.1,28.0,14.0,45.0,TRUE,8.8,61.4,52,checkstatus_act (Checkstatus)
103.2,28.0,0.0,42.0,TRUE,8.8,61.6,52,manoeuvre_act (Flying)
102.6,14.0,14.0,39.0,TRUE,8.9,61.9,52,checkstatus_act (Checkstatus)
101.9,14.0,0.0,34.0,TRUE,9.0,62.2,52,manoeuvre_act (Flying)
102.8,0.0,14.0,30.0,TRUE,8.9,62.4,52,checkstatus_act (Checkstatus)
102.1,0.0,0.0,27.0,TRUE,8.8,61.7,0.53,land_act (Landing)
0.0,0.0,0.0,23.0,TRUE,8.9,60.6,0.53,shutdown_act (Shutdown)
0.0,0.0,0.0,18.0,FALSE,9.0,59.8,0,-
